STATE,NAME,ID,,,,,,,
CA,REEDLEY,KO32,,,,,,,
CA,RIO VISTA,KO88,,,,,,,
CA,RIVERSIDE,KRAL,,,,,,,
CA,RIVERSIDE/MARCH,KRIV,,,,,,,
CA,SACRAMENTO,KSAC,,,,,,,
CA,SACRAMENTO/METRO,KSMF,,,,,,,
CA,SALINAS,KSNS,,,,,,,
CA,SAN ANDREAS,KCPU,,,,,,,
CA,SAN BERNARDINO,KSBD,,,,,,,
CA,SAN CARLOS AIRPO,KSQL,,,,,,,
CA,SAN CLEMENTE IS.,KNUC,,,,,,,
CA,SANDBERG,KSDB,,,,,,,
CA,SAN DIEGO/BROWN,KSDM,,,,,,,
CA,SAN DIEGO,KSAN,,,,,,,
CA,SAN DIEGO/MNTGMY,KMYF,,,,,,,
CA,SAN DIEGO/SANTEE,KSEE,,,,,,,
CA,SAN FRANCISCO,KSFO,,,,,,,
CA,SAN JOSE,KSJC,,,,,,,
CA,SAN JOSE/REID,KRHV,,,,,,,
CA,SAN LUIS OBISPO,KSBP,,,,,,,
CA,SAN MARTIN,KE16,,,,,,,
CA,SAN NICOLAS ISLA,KNSI,,,,,,,
CA,SANTA BARBARA,KSBA,,,,,,,
CA,SANTA MARIA,KSMX,,,,,,,
CA,SANTA MONICA,KSMO,,,,,,,
CA,SANTA ROSA,KSTS,,,,,,,
CA,SANTA YNEZ,KIZA,,,,,,,
CA,SHELTER COVE,KO87,,,,,,,
CA,SOUTH LAKE TAHOE,KTVL,,,,,,,
CA,STOCKTON,KSCK,,,,,,,
CA,SUSANVILLE MUNI,KSVE,,,,,,,
CA,TEHACHAPI,KTSP,,,,,,,
CA,THERMAL/PALM SPG,KTRM,,,,,,,
CA,TORRANCE MUNICIP,KTOA,,,,,,,
CA,TRACY,KTCY,,,,,,,
CA,TRAVIS AFB/FAIRF,KSUU,,,,,,,
CA,TRINITY CENTER,KO86,,,,,,,
CA,TRUCKEE TAHOE,KTRK,,,,,,,
CA,TWENTYNINE PALMS,KNXP,,,,,,,
CA,UKIAH,KUKI,,,,,,,
CA,UPLAND,KCCB,,,,,,,
CA,VACAVILLE,KVCB,,,,,,,
CA,VANDENBERG AFB,KVBG,,,,,,,
CA,VANDENBERG RANGE,KXVW,,,,,,,
CA,VAN NUYS,KVNY,,,,,,,
CA,VICTORVILLE,KVCV,,,,,,,
CA,VISALIA MUNI,KVIS,,,,,,,
CA,WATSONVILLE,KWVI,,,,,,,
CA,WEAVERVILLE,KO54,,,,,,,
CO,AKRON,KAKO,,,,,,,
CO,ALAMOSA,KALS,,,,,,,
CO,ASPEN,KASE,,,,,,,
CO,BALD MOUNTAIN,K7BM,,,,,,,
CO,BERTHOUD PASS,K0CO,,,,,,,
