OBJECTID,siteID,siteName,State,Latitude,Longitude,radarType,antennaElevation,owner,,,,,,,
161,TCLT,Charlotte,NC,35.337,-80.885,TDWR,871,,,,,,,,
162,TCMH,Columbus,OH,40.006,-82.715,TDWR,1148,,,,,,,,
163,TCVG,Cincinnati,OH,38.898,-84.58,TDWR,1053,,,,,,,,
164,TDAL,Dallas Love Field,TX,32.926,-96.968,TDWR,622,,,,,,,,
165,TDAY,Dayton,OH,40.022,-84.123,TDWR,1019,,,,,,,,
166,TDCA,Washington National,MD,38.759,-76.962,TDWR,345,,,,,,,,
167,TDEN,Denver,CO,39.728,-104.526,TDWR,5701,,,,,,,,
168,TDFW,Dallas/Ft. Worth,TX,33.065,-96.918,TDWR,585,,,,,,,,
169,TDTW,Detroit,MI,42.111,-83.515,TDWR,772,,,,,,,,
170,TEWR,Newark,NJ,40.593,-74.27,TDWR,136,,,,,,,,
171,TFLL,Fort Lauderdale,FL,26.143,-80.344,TDWR,120,,,,,,,,
172,THOU,Houston Hobby,TX,29.516,-95.242,TDWR,117,,,,,,,,
173,TIAD,Dulles,VA,39.084,-77.529,TDWR,473,,,,,,,,
174,TIAH,Houston International,TX,30.065,-95.567,TDWR,253,,,,,,,,
175,TICH,Witchita,KS,37.507,-97.437,TDWR,1351,,,,,,,,
176,TIDS,Indianapolis,IN,39.637,-86.436,TDWR,847,,,,,,,,
177,TJFK,New York City,NY,40.589,-73.881,TDWR,112,,,,,,,,
178,TJUA,San Juan FAA (RDA 1),PR,18.115667,-66.078159,NEXRAD,901,,,,,,,,
179,TLAS,Las Vegas,NV,36.144,-115.007,TDWR,2058,,,,,,,,
180,TLVE,"Cleveland, OH",OH,41.29,-82.008,TDWR,931,,,,,,,,
181,TMCI,Kansas City,MO,39.498,-94.742,TDWR,1090,,,,,,,,
182,TMCO,Orlando International,FL,28.344,-81.326,TDWR,169,,,,,,,,
183,TMDW,Chicago Midway,IL,41.651,-87.73,TDWR,763,,,,,,,,
184,TMEM,Memphis,TN,34.896,-89.993,TDWR,483,,,,,,,,
185,TMIA,Miami,FL,25.758,-80.491,TDWR,125,,,,,,,,
186,TMKE,Milwaukee,WI,42.819,-88.046,TDWR,933,,,,,,,,
187,TMSP,Minneapolis,MN,44.871,-92.933,TDWR,1121,,,,,,,,
188,TMSY,New Orleans,LA,30.022,-90.403,TDWR,99,,,,,,,,
189,TOKC,Oklahoma City,OK,35.276,-97.51,TDWR,1308,,,,,,,,
190,TORD,Chicago O'Hare,IL,41.797,-87.858,TDWR,744,,,,,,,,
191,TPBI,West Palm Beach,FL,26.688,-80.273,TDWR,133,,,,,,,,
192,TPHL,Philadelphia,PA,39.949,-75.069,TDWR,153,,,,,,,,
193,TPHX,Phoenix,AZ,33.421,-112.163,TDWR,1089,,,,,,,,
194,TPIT,Pittsburgh,PA,40.501,-80.486,TDWR,1386,,,,,,,,
195,TRDU,Raleigh Durham,NC,36.002,-78.697,TDWR,515,,,,,,,,
196,TSDF,"Louisville, KY",KY,38.046,-85.61,TDWR,731,,,,,,,,
197,TSJU,San Juan,PR,18.474,-66.179,TDWR,157,,,,,,,,
198,TSLC,Salt Lake City,UT,40.967,-111.93,TDWR,4295,,,,,,,,
199,TSTL,St. Louis,MO,38.805,-90.489,TDWR,647,,,,,,,,
200,TTPA,Tampa Bay,FL,27.86,-82.518,TDWR,93,,,,,,,,
201,TTUL,Tulsa,OK,36.071,-95.827,TDWR,823,,,,,,,,
